,scrapping_time,short_name,name,cap,price,volume,supply,percent_change
20057,20190421211356,BBK,Brickblock,2300076.23666,$0.030614,"$19,936",75131282.9736,0.248319
20058,20190421211356,BKX,BANKEX,2297354.21147,$0.024198,"$203,627",94938649.0,-0.92309
20059,20190421211356,ZAP,Zap,2295063.06686,$0.017448,"$6,408",131534257.006,-8.89255
20060,20190421211356,HORUS,HorusPay,2292796.59231,$0.002627,"$30,856",872861114.0,0.308694
20061,20190421211356,OTO,OTOCASH,2275949.84348,$0.084531,"$4,189",26924537.5516,-0.059192
20062,20190421211356,TMC,Timicoin,2256803.24446,$0.007116,"$2,518",317149560.162,0.00375297
20063,20190421211356,CARD,Cardstack,2251356.96475,$0.000947,"$157,934",2376825839.2,-0.275755
20064,20190421211356,GLC,GoldCoin,2243844.55566,$0.053858,"$2,368",41662072.0,0.826617
20065,20190421211356,STK,STK,2234604.73123,$0.006496,"$82,808",343971371.971,1.94246
20066,20190421211356,ZSC,Zeusshield,2223127.92813,$0.001928,"$39,159",1153170765.0,0.299515
20067,20190421211356,PLA,PlayChip,2222117.0704,$0.001497,"$120,782",1484769719.84,-2.205
20068,20190421211356,ATCC,ATC Coin,2186549.35362,$0.007191,"$17,336",304086543.714,-0.908513
20069,20190421211356,RTE,Rate3,2185965.09033,$0.002458,"$259,887",889382387.974,0.0815913
20070,20190421211356,SOAR,Soarcoin,2172397.56313,$0.002011,"$1,166",1080319438.62,0.0393004
20071,20190421211356,VNT,Vanta Network,2172332.81714,$0.000772,"$505,171",2812526833.0,-0.0132132
20072,20190421211356,AXPR,aXpire,2171917.3381,$0.007642,"$1,733",284199990.0,-0.356012
20073,20190421211356,VIPS,Vipstar Coin,2168659.44176,$0.000062,"$1,254,223",34785681835.9,-0.0555152
20074,20190421211356,HALO,Halo Platform,2163772.29765,$0.000552,"$2,191",3920712005.67,0.15979
20075,20190421211356,RPD,Rapids,2162647.9787,$0.000217,"$12,611",9961184068.06,0.930564
20076,20190421211356,HMQ,Humaniq,2139237.32474,$0.011546,"$467,851",185286753.036,-2.96513
20077,20190421211356,SPD,SPINDLE,2131255.51679,$0.000677,"$25,540",3148907224.67,0.209978
20078,20190421211356,ZMN,ZMINE,2116070.48823,$0.015972,"$15,359",132488780.072,-0.22092
20079,20190421211356,NCC,NeuroChain,2099748.80969,$0.006226,"$14,240",337242467.961,0.0163571
20080,20190421211356,VIDT,V-ID,2091214.86139,$0.081462,"$52,035",25670935.9318,0.0169972
20081,20190421211356,SXUT,Spectre.ai Ut...,2079967.8853,$0.084794,"$31,992",24529557.5131,0.169932
20082,20190421211356,TNC,Trinity Netwo...,2067455.73062,$0.006202,"$298,976",333333333.0,0.697339
20083,20190421211356,RET,RealTract,2056402.1706,$0.000187,"$170,700",11000000000.0,70.5522
20084,20190421211356,NLC2,NoLimitCoin,2040945.38507,$0.009692,"$10,475",210579259.821,-1.94369
20085,20190421211356,AMP,HyperSpace,2036057.9362,$0.020213,"$6,761",100728564.0,-0.220231
20086,20190421211356,PNK,Kleros,2004549.8022,$0.008898,"$2,793",225286618.286,1.61036
20087,20190421211356,PAYX,Paypex,1995749.44761,$0.029165,"$23,758",68428768.29,9.66598
20088,20190421211356,PRIX,Privatix,1987659.65754,$1.82,"$3,734",1093385.90878,-14.0574
20089,20190421211356,XPC,eXPerience Chain,1987388.65874,$0.000022,"$14,501",91090814961.0,0.545889
20090,20190421211356,VGW,VegaWallet Token,1978262.28658,$0.188499,"$58,416",10494837.9997,-0.178061
20091,20190421211356,EFX,Effect.AI,1974880.34628,$0.009556,"$7,126",206668526.316,0.151091
20092,20190421211356,ELEC,Electrify.Asia,1974171.81145,$0.003728,"$117,150",529591830.037,2.75499
20093,20190421211356,SNET,Snetwork,1971403.96101,$0.013388,"$174,707",147250411.649,-0.138196
20094,20190421211356,RISE,Rise,1968682.63501,$0.014453,"$2,147",136213244.41,-0.187974
20095,20190421211356,ELI,Eligma Token,1965810.54574,$0.014130,"$139,281",139126001.712,0.0637354
20096,20190421211356,XFC,Footballcoin,1956033.37397,$0.005221,"$2,233",374660526.033,-0.131571
20097,20190421211356,EKO,EchoLink,1952363.80391,$0.004881,"$219,291",399995750.0,2.23582
20098,20190421211356,OMNI,Omni,1937442.05853,$3.45,"$1,153",562031.250974,-0.06335
20099,20190421211356,STQ,Storiqa,1928851.75424,$0.000192,"$119,974",10020877589.9,0.932796
20100,20190421211356,SS,Sharder,1917981.44409,$0.006771,"$367,014",283282765.187,-0.886046
20101,20190421211356,NBAI,Nebula AI,1916986.04664,$0.001649,"$1,032",1162684117.03,0.161711
20102,20190421211356,SAFE,SafeCoin,1914840.29606,$0.069040,"$5,362",27735062.61,-0.059192
20103,20190421211356,RPM,Repme,1914787.98324,$0.000053,$713,36220523483.0,-0.059192
20104,20190421211356,TX,TransferCoin,1900655.73193,$0.251801,"$25,777",7548240.0,0.0580122
20105,20190421211356,ABYSS,The Abyss,1884432.55789,$0.008383,"$165,623",224803564.033,-1.75889
20106,20190421211356,LCS,LocalCoinSwap,1884202.24664,$0.035948,"$83,209",52414643.2296,-0.200889
20107,20190421211356,FXT,FuzeX,1863674.95286,$0.002349,"$22,811",793534329.273,-1.4207
20108,20190421211356,TOL,Tolar,1858211.10722,$0.007580,"$281,018",245146100.281,1.12168
20109,20190421211356,DAG,Constellation,1858189.68773,$0.001794,"$135,153",1035713603.21,9.61332
20110,20190421211356,BCA,Bitcoin Atom,1855975.48777,$0.100765,"$51,688",18418931.25,0.0196412
20111,20190421211356,LUX,LUXCoin,1855037.83215,$0.346555,"$1,665",5352789.70255,-0.322925
20112,20190421211356,SHIP,ShipChain,1835267.44295,$0.007781,"$4,825",235854008.959,0.0122686
20113,20190421211356,BSD,BitSend,1831628.68536,$0.079888,"$168,295",22927524.5018,1.31973
20114,20190421211356,FBN,Fivebalance,1820530.87503,$0.000091,"$10,285",20000000000.0,0.935086
20115,20190421211356,RMT,SureRemit,1818221.89189,$0.003636,"$12,985",500000000.0,-0.164829
20116,20190421211356,COVAL,Circuits of V...,1799212.4051,$0.001799,"$1,536",1000000000.0,3.0718
20117,20190421211356,INSTAR,Insights Network,1791714.91713,$0.012966,"$85,234",138184058.326,0.804979
20118,20190421211356,FDZ,Friendz,1787101.77432,$0.003595,"$58,980",497158770.698,3.40197
20119,20190421211356,DIM,DIMCOIN,1783098.89923,$0.000848,"$120,253",2102483275.81,-9.26618
20120,20190421211356,SKB,Sakura Bloom,1760149.18927,$0.000681,"$36,669",2582965294.29,0.162356
20121,20190421211356,YEED,YGGDRASH,1755956.11813,$0.000357,"$224,471",4912116975.35,-1.12568
20122,20190421211356,FTT,FarmaTrust,1746621.30764,$0.002911,"$58,313",600000000.0,0.688835
20123,20190421211356,RMESH,RightMesh,1729142.67704,$0.028230,"$52,530",61251898.2371,-11.9995
20124,20190421211356,OPEN,Open Platform,1720707.13735,$0.003946,"$232,470",436114139.257,0.188893
20125,20190421211356,TMT,TRAXIA,1717534.8728,$0.003488,"$63,603",492353333.35,-0.602138
20126,20190421211356,AID,AIDUS TOKEN,1714441.15419,$0.010715,"$4,458",160000000.0,-0.0120366
20127,20190421211356,SWC,Scanetchain,1703411.51934,$0.004559,"$374,435",373660282.554,-0.590873
20128,20190421211356,DAGT,Digital Asset...,1702207.70072,$0.073841,"$515,751",23052329.5367,0.254734
20129,20190421211356,DOV,Dovu,1699451.52737,$0.004251,$945,399758698.345,-0.0807666
20130,20190421211356,SSC,SelfSell,1690870.59355,$0.004336,"$1,150,455",390000000.0,-1.51994
20131,20190421211356,MYST,Mysterium,1689561.38566,$0.071372,"$5,164",23672501.5204,0.0864978
20132,20190421211356,GUP,Matchpool,1686740.83175,$0.022490,"$80,679",75000000.0,-3.37382
20133,20190421211356,UBEX,Ubex,1683891.94896,$0.000544,"$434,916",3092594583.43,-0.416313
20134,20190421211356,CAN,CanYaCoin,1680585.93952,$0.033679,$736,49899758.5173,0.339912
20135,20190421211356,HMC,Hi Mutual Soc...,1676079.70534,$0.004148,"$49,946",404100000.0,0.151216
20136,20190421211356,BOXX,Blockparty (B...,1673691.51342,$0.071579,"$4,901",23382364.32,-0.0710205
20137,20190421211356,CURE,Curecoin,1671641.93554,$0.069314,"$7,212",24116940.5291,-2.94757
20138,20190421211356,UFR,Upfiring,1660219.26902,$0.076862,"$7,913",21600000.0058,-0.067103
20139,20190421211356,TIME,Chronobank,1655354.65713,$2.33,"$63,398",710112.8108,-0.150786
20140,20190421211356,QAC,Quasarcoin,1654802.30673,$0.009835,"$2,010",168258900.52,0.173138
20141,20190421211356,FLIXX,Flixxo,1646061.19631,$0.020673,"$2,788",79623674.7487,0.27549
20142,20190421211356,XRA,Xriba,1636769.43035,$0.018766,"$1,181",87218882.1331,0.159018
20143,20190421211356,CEN,Coinsuper Eco...,1625079.52258,$0.011639,"$284,943",139621836.464,2.90532
20144,20190421211356,GEO,GeoCoin,1622830.00353,$0.510235,"$1,101",3180551.1301,0.0402733
20145,20190421211356,NYC,NewYorkCoin,1621442.9181,$0.000012,"$2,790",1.3402458876e+11,2.06614
20146,20190421211356,DTX,DaTa eXchange,1620719.52986,$0.021910,"$27,228",73971174.2572,0.102193
20147,20190421211356,EXP,Expanse,1613376.21111,$0.153724,"$46,138",10495278.0,0.125239
20148,20190421211356,MLM,MktCoin,1603773.23944,$0.001326,"$3,831",1209529899.7,-2.24888
20149,20190421211356,DNA,EncrypGen,1598448.72807,$0.023847,$948,67029977.1189,0.184309
20150,20190421211356,DBIX,DubaiCoin,1579190.12573,$0.370426,"$1,257",4263172.051,4.42516
20151,20190421211356,ALIS,ALIS,1554416.03654,$0.039932,"$1,612",38926863.0864,-0.0177842
20152,20190421211356,CXO,CargoX,1548422.66541,$0.010294,"$15,311",150417833.35,0.138421
20153,20190421211356,QBT,Qbao,1536618.84651,$0.023513,"$275,819",65351403.0,-1.41407
20154,20190421211356,FTN,Fountain,1517603.16013,$0.036097,"$151,649",42042760.5357,0.0059348
20155,20190421211356,MAS,MidasProtocol,1497851.42561,$0.005214,"$47,552",287250000.0,-0.359837
20156,20190421211356,TRST,WeTrust,1488902.47563,$0.016158,"$3,647",92147500.0,-0.0232817
20157,20190421211356,HKN,Hacken,1448323.55423,$0.270234,"$2,313",5359515.94793,-0.075199
20158,20190421211356,OK,OKCash,1445604.55521,$0.019414,"$7,140",74461703.9028,1.60526
20159,20190421211356,BOT,Bodhi,1445571.19057,$0.036139,"$7,408",40000000.0,-0.0375602
20160,20190421211356,UQC,Uquid Coin,1435606.77472,$0.143561,"$557,790",10000000.0,-0.713486
20161,20190421211356,GEM,Gems ,1424788.13748,$0.001236,"$29,279",1152794971.38,-0.0777331
20162,20190421211356,SKCH,Skychain,1421308.41698,$0.189968,"$5,270",7481835.24078,-0.172043
20163,20190421211356,KARMA,KARMA,1421230.47172,$0.000431,"$99,682,393",3299031186.0,0.309317
20164,20190421211356,HQX,HOQU,1414633.26635,$0.008834,"$147,126",160144017.658,-0.283936
20165,20190421211356,SIB,SIBCoin,1401162.36476,$0.080077,"$12,445",17497768.2214,0.75005
20166,20190421211356,PCH,POPCHAIN,1399527.89211,$0.001701,"$157,425",822848310.389,7.67594
20167,20190421211356,KT,Kuai Token,1393544.39268,$0.146809,"$4,691,520",9492197.90077,1.2085
20168,20190421211356,SDA,eSDChain,1386232.1276,$0.011050,"$24,676",125447920.965,-1.91191
20169,20190421211356,STX,Stox,1386183.0447,$0.026545,"$102,058",52220363.7996,0.656771
20170,20190421211356,MSR,Masari,1384941.20146,$0.124483,"$3,134",11125582.8051,-0.211481
20171,20190421211356,WLO,WOLLO,1365378.52542,$0.031711,"$4,733",43057496.0,-0.0664428
